GEOID	NAME	variable	estimate	moe	zip_code	year	popup
10280	ZCTA5 10280	B01003_001	9820	692	10280	2017	"ZIP 10280
Est: 9820"
10282	ZCTA5 10282	B01003_001	5644	554	10282	2017	"ZIP 10282
Est: 5644"
10001	ZCTA5 10001	B01003_001	22924	1190	10001	2018	"ZIP 10001
Est: 22924"
10002	ZCTA5 10002	B01003_001	74993	1909	10002	2018	"ZIP 10002
Est: 74993"
10003	ZCTA5 10003	B01003_001	54682	1754	10003	2018	"ZIP 10003
Est: 54682"
10004	ZCTA5 10004	B01003_001	3028	442	10004	2018	"ZIP 10004
Est: 3028"
10005	ZCTA5 10005	B01003_001	8831	762	10005	2018	"ZIP 10005
Est: 8831"
10006	ZCTA5 10006	B01003_001	3454	410	10006	2018	"ZIP 10006
Est: 3454"
10007	ZCTA5 10007	B01003_001	7023	824	10007	2018	"ZIP 10007
Est: 7023"
10009	ZCTA5 10009	B01003_001	57925	1823	10009	2018	"ZIP 10009
Est: 57925"
10010	ZCTA5 10010	B01003_001	33730	2033	10010	2018	"ZIP 10010
Est: 33730"
10011	ZCTA5 10011	B01003_001	50472	1901	10011	2018	"ZIP 10011
Est: 50472"
10012	ZCTA5 10012	B01003_001	23411	989	10012	2018	"ZIP 10012
Est: 23411"
10013	ZCTA5 10013	B01003_001	28709	1287	10013	2018	"ZIP 10013
Est: 28709"
10014	ZCTA5 10014	B01003_001	30738	1304	10014	2018	"ZIP 10014
Est: 30738"
10016	ZCTA5 10016	B01003_001	51057	2315	10016	2018	"ZIP 10016
Est: 51057"
10017	ZCTA5 10017	B01003_001	15801	1198	10017	2018	"ZIP 10017
Est: 15801"
10018	ZCTA5 10018	B01003_001	9687	739	10018	2018	"ZIP 10018
Est: 9687"
10019	ZCTA5 10019	B01003_001	43703	1809	10019	2018	"ZIP 10019
Est: 43703"
10020	ZCTA5 10020	B01003_001	0	12	10020	2018	"ZIP 10020
Est: 0"
10021	ZCTA5 10021	B01003_001	46215	2515	10021	2018	"ZIP 10021
Est: 46215"
10022	ZCTA5 10022	B01003_001	31125	1605	10022	2018	"ZIP 10022
Est: 31125"
