GEOID	NAME	variable	estimate	moe
36005000100	Census Tract 1, Bronx County, New York	B01003_001	7080	290
36005000200	Census Tract 2, Bronx County, New York	B01003_001	4542	574
36005000400	Census Tract 4, Bronx County, New York	B01003_001	5634	517
36005001600	Census Tract 16, Bronx County, New York	B01003_001	5917	461
36005001900	Census Tract 19, Bronx County, New York	B01003_001	2765	307
36005002000	Census Tract 20, Bronx County, New York	B01003_001	9409	1043
36005002300	Census Tract 23, Bronx County, New York	B01003_001	4600	323
36005002400	Census Tract 24, Bronx County, New York	B01003_001	172	247
36005002500	Census Tract 25, Bronx County, New York	B01003_001	5887	553
36005002701	Census Tract 27.01, Bronx County, New York	B01003_001	2868	301
36005002702	Census Tract 27.02, Bronx County, New York	B01003_001	4702	491
36005002800	Census Tract 28, Bronx County, New York	B01003_001	5269	578
36005003100	Census Tract 31, Bronx County, New York	B01003_001	1703	242
36005003300	Census Tract 33, Bronx County, New York	B01003_001	3534	356
36005003500	Census Tract 35, Bronx County, New York	B01003_001	3900	363
36005003700	Census Tract 37, Bronx County, New York	B01003_001	269	87
36005003800	Census Tract 38, Bronx County, New York	B01003_001	1434	201
36005003900	Census Tract 39, Bronx County, New York	B01003_001	6742	733
36005004001	Census Tract 40.01, Bronx County, New York	B01003_001	1485	192
36005004100	Census Tract 41, Bronx County, New York	B01003_001	5517	618
36005004200	Census Tract 42, Bronx County, New York	B01003_001	7207	648
36005004300	Census Tract 43, Bronx County, New York	B01003_001	6088	595
36005004400	Census Tract 44, Bronx County, New York	B01003_001	4607	395
36005004600	Census Tract 46, Bronx County, New York	B01003_001	1817	237
36005004800	Census Tract 48, Bronx County, New York	B01003_001	4680	415
36005005001	Census Tract 50.01, Bronx County, New York	B01003_001	4979	499
36005005002	Census Tract 50.02, Bronx County, New York	B01003_001	5519	560
36005005100	Census Tract 51, Bronx County, New York	B01003_001	5588	473
36005005200	Census Tract 52, Bronx County, New York	B01003_001	2091	259
36005005300	Census Tract 53, Bronx County, New York	B01003_001	4483	376
36005005400	Census Tract 54, Bronx County, New York	B01003_001	6003	664
36005005600	Census Tract 56, Bronx County, New York	B01003_001	2384	244
36005005902	Census Tract 59.02, Bronx County, New York	B01003_001	2532	288
36005006000	Census Tract 60, Bronx County, New York	B01003_001	1451	267
36005006100	Census Tract 61, Bronx County, New York	B01003_001	3697	407
36005006200	Census Tract 62, Bronx County, New York	B01003_001	7184	726
36005006300	Census Tract 63, Bronx County, New York	B01003_001	4497	435
36005006400	Census Tract 64, Bronx County, New York	B01003_001	3612	409
36005006500	Census Tract 65, Bronx County, New York	B01003_001	5312	564
36005006700	Census Tract 67, Bronx County, New York	B01003_001	7256	703
36005006800	Census Tract 68, Bronx County, New York	B01003_001	3294	347
36005006900	Census Tract 69, Bronx County, New York	B01003_001	8090	816
36005007000	Census Tract 70, Bronx County, New York	B01003_001	4584	692
36005007100	Census Tract 71, Bronx County, New York	B01003_001	2722	248
36005007200	Census Tract 72, Bronx County, New York	B01003_001	5891	738
36005007300	Census Tract 73, Bronx County, New York	B01003_001	4314	386
36005007400	Census Tract 74, Bronx County, New York	B01003_001	3314	377
36005007500	Census Tract 75, Bronx County, New York	B01003_001	6112	518
36005007600	Census Tract 76, Bronx County, New York	B01003_001	5458	660
36005007700	Census Tract 77, Bronx County, New York	B01003_001	2022	199
36005007800	Census Tract 78, Bronx County, New York	B01003_001	7025	704
36005007900	Census Tract 79, Bronx County, New York	B01003_001	7054	705
36005008300	Census Tract 83, Bronx County, New York	B01003_001	6519	629
36005008400	Census Tract 84, Bronx County, New York	B01003_001	2780	305
36005008500	Census Tract 85, Bronx County, New York	B01003_001	5972	624
36005008600	Census Tract 86, Bronx County, New York	B01003_001	3982	451
36005008700	Census Tract 87, Bronx County, New York	B01003_001	6150	508
36005008900	Census Tract 89, Bronx County, New York	B01003_001	3200	253
36005009000	Census Tract 90, Bronx County, New York	B01003_001	3620	429
36005009200	Census Tract 92, Bronx County, New York	B01003_001	6091	432
36005009300	Census Tract 93, Bronx County, New York	B01003_001	6104	717
36005009600	Census Tract 96, Bronx County, New York	B01003_001	2683	254
36005009800	Census Tract 98, Bronx County, New York	B01003_001	4824	526
36005011000	Census Tract 110, Bronx County, New York	B01003_001	0	12
36005011502	Census Tract 115.02, Bronx County, New York	B01003_001	4437	468
36005011700	Census Tract 117, Bronx County, New York	B01003_001	1586	272
36005011800	Census Tract 118, Bronx County, New York	B01003_001	5400	373
36005011900	Census Tract 119, Bronx County, New York	B01003_001	5557	511
36005012101	Census Tract 121.01, Bronx County, New York	B01003_001	2906	283
36005012102	Census Tract 121.02, Bronx County, New York	B01003_001	1509	190
36005012300	Census Tract 123, Bronx County, New York	B01003_001	4095	518
36005012500	Census Tract 125, Bronx County, New York	B01003_001	4195	363
36005012701	Census Tract 127.01, Bronx County, New York	B01003_001	1832	289
36005012901	Census Tract 129.01, Bronx County, New York	B01003_001	4147	472
36005013000	Census Tract 130, Bronx County, New York	B01003_001	1498	165
36005013100	Census Tract 131, Bronx County, New York	B01003_001	5076	522
36005013200	Census Tract 132, Bronx County, New York	B01003_001	7191	650
36005013300	Census Tract 133, Bronx County, New York	B01003_001	5995	561
36005013500	Census Tract 135, Bronx County, New York	B01003_001	3541	457
36005013800	Census Tract 138, Bronx County, New York	B01003_001	2597	382
36005014100	Census Tract 141, Bronx County, New York	B01003_001	5865	525
36005014300	Census Tract 143, Bronx County, New York	B01003_001	1399	235
36005014400	Census Tract 144, Bronx County, New York	B01003_001	5513	770
36005014500	Census Tract 145, Bronx County, New York	B01003_001	8004	1059
36005014701	Census Tract 147.01, Bronx County, New York	B01003_001	7120	642
36005014702	Census Tract 147.02, Bronx County, New York	B01003_001	5348	471
36005014900	Census Tract 149, Bronx County, New York	B01003_001	4769	455
36005015100	Census Tract 151, Bronx County, New York	B01003_001	5029	488
36005015200	Census Tract 152, Bronx County, New York	B01003_001	2586	236
36005015300	Census Tract 153, Bronx County, New York	B01003_001	4885	460
36005015500	Census Tract 155, Bronx County, New York	B01003_001	2884	313
36005015700	Census Tract 157, Bronx County, New York	B01003_001	4427	459
36005015800	Census Tract 158, Bronx County, New York	B01003_001	1082	216
36005015900	Census Tract 159, Bronx County, New York	B01003_001	1971	259
36005016000	Census Tract 160, Bronx County, New York	B01003_001	3870	347
36005016100	Census Tract 161, Bronx County, New York	B01003_001	4361	379
36005016200	Census Tract 162, Bronx County, New York	B01003_001	1966	263
36005016300	Census Tract 163, Bronx County, New York	B01003_001	0	12
36005016400	Census Tract 164, Bronx County, New York	B01003_001	993	185
36005016500	Census Tract 165, Bronx County, New York	B01003_001	965	148
36005016600	Census Tract 166, Bronx County, New York	B01003_001	2364	244
36005016700	Census Tract 167, Bronx County, New York	B01003_001	3625	475
36005016900	Census Tract 169, Bronx County, New York	B01003_001	1513	249
36005017100	Census Tract 171, Bronx County, New York	B01003_001	0	12
36005017300	Census Tract 173, Bronx County, New York	B01003_001	5689	516
36005017500	Census Tract 175, Bronx County, New York	B01003_001	7223	602
36005017701	Census Tract 177.01, Bronx County, New York	B01003_001	4812	523
36005017702	Census Tract 177.02, Bronx County, New York	B01003_001	5786	675
